Date,Symbol,Close
1/15/14,ntrs,61.2
1/16/14,ntrs,61.05
1/17/14,ntrs,60.71
1/21/14,ntrs,60.61
1/22/14,ntrs,62.61
1/23/14,ntrs,62.6
1/24/14,ntrs,61.13
1/27/14,ntrs,60.55
1/28/14,ntrs,60.76
1/29/14,ntrs,60.7
1/30/14,ntrs,61.12
1/31/14,ntrs,60.22
2/3/14,ntrs,58.4
2/4/14,ntrs,59.78
2/5/14,ntrs,59.16
2/6/14,ntrs,59.75
2/7/14,ntrs,60.73
2/10/14,ntrs,60.85
2/11/14,ntrs,61.77
2/12/14,ntrs,61.87
2/13/14,ntrs,62.04
2/14/14,ntrs,62.25
2/18/14,ntrs,62.22
2/19/14,ntrs,61.43
2/20/14,ntrs,61.54
2/21/14,ntrs,61.9
2/24/14,ntrs,62.45
2/25/14,ntrs,61.86
2/26/14,ntrs,61.72
2/27/14,ntrs,62.18
2/28/14,ntrs,61.85
3/3/14,ntrs,61.33
3/4/14,ntrs,62.29
3/5/14,ntrs,62.13
3/6/14,ntrs,62.82
3/7/14,ntrs,64.02
3/10/14,ntrs,64.12
3/11/14,ntrs,63.14
3/12/14,ntrs,62.7
3/13/14,ntrs,61.8
3/14/14,ntrs,62.04
3/17/14,ntrs,62.75
3/18/14,ntrs,63.08
3/19/14,ntrs,63.92
3/20/14,ntrs,65.58
3/21/14,ntrs,65.77
3/24/14,ntrs,65.65
3/25/14,ntrs,65.31
3/26/14,ntrs,64.67
3/27/14,ntrs,64.32
3/28/14,ntrs,64.91
3/31/14,ntrs,65.56
4/1/14,ntrs,65.75
4/2/14,ntrs,65.64
4/3/14,ntrs,65.47
4/4/14,ntrs,64.16
4/7/14,ntrs,62.83
4/8/14,ntrs,62.58
4/9/14,ntrs,62.78
4/10/14,ntrs,61.56
4/11/14,ntrs,60.59
4/14/14,ntrs,61.22
4/15/14,ntrs,59.63
4/16/14,ntrs,59.04
4/17/14,ntrs,59.39
4/21/14,ntrs,59.91
4/22/14,ntrs,60.29
4/23/14,ntrs,60.84
4/24/14,ntrs,60.24
4/25/14,ntrs,59.47
4/28/14,ntrs,59.2
4/29/14,ntrs,60.02
4/30/14,ntrs,60.25
5/1/14,ntrs,60.06
5/2/14,ntrs,60.49
5/5/14,ntrs,60.15
5/6/14,ntrs,59.44
5/7/14,ntrs,60.64
5/8/14,ntrs,61.04
5/9/14,ntrs,61.11
5/12/14,ntrs,61.76
5/13/14,ntrs,61.72
5/14/14,ntrs,60.88
5/15/14,ntrs,59.62
5/16/14,ntrs,59.81
5/19/14,ntrs,60.08
5/20/14,ntrs,59.57
5/21/14,ntrs,59.88
5/22/14,ntrs,60.33
5/23/14,ntrs,60.36
5/27/14,ntrs,60.84
5/28/14,ntrs,60.78
5/29/14,ntrs,60.49
5/30/14,ntrs,60.4
6/2/14,ntrs,60.83
6/3/14,ntrs,60.94
6/4/14,ntrs,61.29
6/5/14,ntrs,61.63
6/6/14,ntrs,62.21
6/9/14,ntrs,62.64
6/10/14,ntrs,62.69
6/11/14,ntrs,62.1
6/12/14,ntrs,62.2
6/13/14,ntrs,62.21
6/16/14,ntrs,62.25
6/17/14,ntrs,63.89
6/18/14,ntrs,64.39
6/19/14,ntrs,64.12
6/20/14,ntrs,64.29
6/23/14,ntrs,64.11
6/24/14,ntrs,63.88
6/25/14,ntrs,64.15
6/26/14,ntrs,64.07
6/27/14,ntrs,64.45
6/30/14,ntrs,64.21
7/1/14,ntrs,64.5
7/2/14,ntrs,64.06
7/3/14,ntrs,64.89
7/7/14,ntrs,64.8
7/8/14,ntrs,64.12
7/9/14,ntrs,64.02
7/10/14,ntrs,63.83
7/11/14,ntrs,64.41
7/14/14,ntrs,64.43
7/15/14,ntrs,64.48
7/16/14,ntrs,64.48
7/17/14,ntrs,64.34
7/18/14,ntrs,65.02
7/21/14,ntrs,65.49
7/22/14,ntrs,66.07
7/23/14,ntrs,66.39
7/24/14,ntrs,67.11
7/25/14,ntrs,67.13
7/28/14,ntrs,67.18
7/29/14,ntrs,67.11
7/30/14,ntrs,67.88
7/31/14,ntrs,66.89
8/1/14,ntrs,66.14
8/4/14,ntrs,66.5
8/5/14,ntrs,65.68
8/6/14,ntrs,65.9
8/7/14,ntrs,65.69
8/8/14,ntrs,66.13
8/11/14,ntrs,66.25
8/12/14,ntrs,66.44
8/13/14,ntrs,66.78
8/14/14,ntrs,66.98
8/15/14,ntrs,66.59
8/18/14,ntrs,67.15
8/19/14,ntrs,66.96
8/20/14,ntrs,67.23
8/21/14,ntrs,67.99
8/22/14,ntrs,68.26
8/25/14,ntrs,68.94
8/26/14,ntrs,68.94
8/27/14,ntrs,68.97
8/28/14,ntrs,68.8
8/29/14,ntrs,69.35
9/2/14,ntrs,69.49
9/3/14,ntrs,69.4
9/4/14,ntrs,69.07
9/5/14,ntrs,69.12
9/8/14,ntrs,68.62
9/9/14,ntrs,68.27
9/10/14,ntrs,68.85
9/11/14,ntrs,69.07
9/12/14,ntrs,69.55
9/15/14,ntrs,69.34
9/16/14,ntrs,69.18
9/17/14,ntrs,69.9
9/18/14,ntrs,70.33
9/19/14,ntrs,69.63
9/22/14,ntrs,69.53
9/23/14,ntrs,69.05
9/24/14,ntrs,69.21
9/25/14,ntrs,68.08
9/26/14,ntrs,68.65
9/29/14,ntrs,68.23
9/30/14,ntrs,68.03
10/1/14,ntrs,67.26
10/2/14,ntrs,67.37
10/3/14,ntrs,68.12
10/6/14,ntrs,68.22
10/7/14,ntrs,66.66
10/8/14,ntrs,67.38
10/9/14,ntrs,65.44
10/10/14,ntrs,64.55
10/13/14,ntrs,63.8
10/14/14,ntrs,63.79
10/15/14,ntrs,62.59
10/16/14,ntrs,62.76
10/17/14,ntrs,63.3
10/20/14,ntrs,63.61
10/21/14,ntrs,65.47
10/22/14,ntrs,61.9
10/23/14,ntrs,62.86
10/24/14,ntrs,63.64
10/27/14,ntrs,63.64
10/28/14,ntrs,64.18
10/29/14,ntrs,65.1
10/30/14,ntrs,65.23
10/31/14,ntrs,66.3
11/3/14,ntrs,65.79
11/4/14,ntrs,65.91
11/5/14,ntrs,66.29
11/6/14,ntrs,66.83
11/7/14,ntrs,66.9
11/10/14,ntrs,67.23
11/11/14,ntrs,67.58
11/12/14,ntrs,67.86
11/13/14,ntrs,67.52
11/14/14,ntrs,67.79
11/17/14,ntrs,67.83
11/18/14,ntrs,68.12
11/19/14,ntrs,68.14
11/20/14,ntrs,68.31
11/21/14,ntrs,67.92
11/24/14,ntrs,67.74
11/25/14,ntrs,67.85
11/26/14,ntrs,67.61
11/28/14,ntrs,67.73
12/1/14,ntrs,66.78
12/2/14,ntrs,67.67
12/3/14,ntrs,67.84
12/4/14,ntrs,67.53
12/5/14,ntrs,68.36
12/8/14,ntrs,68.67
12/9/14,ntrs,68.38
12/10/14,ntrs,67.09
12/11/14,ntrs,66.86
12/12/14,ntrs,65.9
12/15/14,ntrs,65.65
12/16/14,ntrs,64.73
12/17/14,ntrs,66.36
12/18/14,ntrs,68.03
12/19/14,ntrs,67.3
12/22/14,ntrs,67.86
12/23/14,ntrs,68.7
12/24/14,ntrs,68.33
12/26/14,ntrs,68.15
12/29/14,ntrs,68.31
12/30/14,ntrs,68.08
12/31/14,ntrs,67.4
1/2/15,ntrs,67.55
1/5/15,ntrs,65.07
1/6/15,ntrs,63.24
1/7/15,ntrs,64.26
1/8/15,ntrs,65.26
1/9/15,ntrs,64.11
1/12/15,ntrs,63.34
1/13/15,ntrs,63.46
1/14/15,ntrs,62.25
1/15/15,ntrs,61.79
1/16/15,ntrs,62.3
1/20/15,ntrs,62.44
1/21/15,ntrs,66.32
1/22/15,ntrs,68
1/23/15,ntrs,66.88
1/26/15,ntrs,67.61
1/27/15,ntrs,66.31
1/28/15,ntrs,64.84
1/29/15,ntrs,66.41
1/30/15,ntrs,65.38
2/2/15,ntrs,66.61
2/3/15,ntrs,68.14
2/4/15,ntrs,67.75
2/5/15,ntrs,68.51
2/6/15,ntrs,69.61
2/9/15,ntrs,68.94
2/10/15,ntrs,69.9
2/11/15,ntrs,70.58
2/12/15,ntrs,70.59
2/13/15,ntrs,70.08
2/17/15,ntrs,70.21
2/18/15,ntrs,69.18
2/19/15,ntrs,69.63
2/20/15,ntrs,70.08
2/23/15,ntrs,70.14
2/24/15,ntrs,71.09
2/25/15,ntrs,71.11
2/26/15,ntrs,70.18
2/27/15,ntrs,69.83
3/2/15,ntrs,70.51
3/3/15,ntrs,70.17
3/4/15,ntrs,69.37
3/5/15,ntrs,69.48
3/6/15,ntrs,70.36
3/9/15,ntrs,70.51
3/10/15,ntrs,69.38
3/11/15,ntrs,69.82
3/12/15,ntrs,70.9
3/13/15,ntrs,70.87
3/16/15,ntrs,71.87
3/17/15,ntrs,72.09
3/18/15,ntrs,71.31
3/19/15,ntrs,70.93
3/20/15,ntrs,71.35
3/23/15,ntrs,70.72
3/24/15,ntrs,69.63
3/25/15,ntrs,68.85
3/26/15,ntrs,69.62
3/27/15,ntrs,69.33
3/30/15,ntrs,69.93
3/31/15,ntrs,69.65
4/1/15,ntrs,70.05
4/2/15,ntrs,70.7
4/6/15,ntrs,70.44
4/7/15,ntrs,71
4/8/15,ntrs,71.18
4/9/15,ntrs,71.21
4/10/15,ntrs,70.86
4/13/15,ntrs,71.46
4/14/15,ntrs,71.34
4/15/15,ntrs,71.15
4/16/15,ntrs,71.01
4/17/15,ntrs,69.83
4/20/15,ntrs,70.23
4/21/15,ntrs,71.89
4/22/15,ntrs,73.85
4/23/15,ntrs,73.79
4/24/15,ntrs,73.1
4/27/15,ntrs,73.01
4/28/15,ntrs,73.54
4/29/15,ntrs,73.74
4/30/15,ntrs,73.15
5/1/15,ntrs,73.7
5/4/15,ntrs,74.55
5/5/15,ntrs,74.56
5/6/15,ntrs,74.23
5/7/15,ntrs,74.64
5/8/15,ntrs,75.25
5/11/15,ntrs,75.05
5/12/15,ntrs,74.64
5/13/15,ntrs,74.73
5/14/15,ntrs,75.01
5/15/15,ntrs,74.72
5/18/15,ntrs,75.7
5/19/15,ntrs,76.15
5/20/15,ntrs,76.16
5/21/15,ntrs,76.03
5/22/15,ntrs,75.56
5/26/15,ntrs,74.79
5/27/15,ntrs,75.51
5/28/15,ntrs,75.65
5/29/15,ntrs,74.55
6/1/15,ntrs,74.25
6/2/15,ntrs,74.4
6/3/15,ntrs,75.1
6/4/15,ntrs,74.27
6/5/15,ntrs,75.25
6/8/15,ntrs,75.66
6/9/15,ntrs,75.88
6/10/15,ntrs,77.26
6/11/15,ntrs,77.5
6/12/15,ntrs,77.59
6/15/15,ntrs,77.24
6/16/15,ntrs,77.33
6/17/15,ntrs,76.88
6/18/15,ntrs,77.7
6/19/15,ntrs,77.56
6/22/15,ntrs,78.21
6/23/15,ntrs,78.4
6/24/15,ntrs,77.71
6/25/15,ntrs,77.69
6/26/15,ntrs,78.64
6/29/15,ntrs,76.28
6/30/15,ntrs,76.46
7/1/15,ntrs,76.95
7/2/15,ntrs,76.68
7/6/15,ntrs,75.99
7/7/15,ntrs,75.87
7/8/15,ntrs,74.05
7/9/15,ntrs,74.74
7/10/15,ntrs,76.38
7/13/15,ntrs,77.16
7/14/15,ntrs,77.24
7/15/15,ntrs,77.71
7/16/15,ntrs,78.66
7/17/15,ntrs,77.92
7/20/15,ntrs,78.34
7/21/15,ntrs,78.05
7/22/15,ntrs,77.97
7/23/15,ntrs,78
7/24/15,ntrs,76.97
7/27/15,ntrs,75.77
7/28/15,ntrs,76.5
7/29/15,ntrs,76.75
7/30/15,ntrs,77.26
7/31/15,ntrs,76.49
8/3/15,ntrs,76.62
8/4/15,ntrs,77.2
8/5/15,ntrs,77.21
8/6/15,ntrs,77.15
8/7/15,ntrs,77.66
8/10/15,ntrs,78.53
8/11/15,ntrs,77.67
8/12/15,ntrs,76.6
8/13/15,ntrs,76.99
8/14/15,ntrs,77.7
8/17/15,ntrs,77.63
8/18/15,ntrs,77.6
8/19/15,ntrs,77.34
8/20/15,ntrs,75.03
8/21/15,ntrs,72.52
8/24/15,ntrs,67.16
8/25/15,ntrs,65.25
8/26/15,ntrs,68.02
8/27/15,ntrs,70.07
8/28/15,ntrs,70.14
8/31/15,ntrs,69.84
9/1/15,ntrs,68
9/2/15,ntrs,68.93
9/3/15,ntrs,69.43
9/4/15,ntrs,68.28
9/8/15,ntrs,70.55
9/9/15,ntrs,69.67
9/10/15,ntrs,69.9
9/11/15,ntrs,70.03
9/14/15,ntrs,70.02
9/15/15,ntrs,70.79
9/16/15,ntrs,70.79
