Date,Close,Stock,,Date,Close,Stock,,Date,Close,Stock
10/31/2012 16:00,41.68,JPM,,10/31/2012 16:00,44.57,STT,,10/31/2012 16:00,47.8,NTRS
11/1/2012 16:00,42.84,JPM,,11/1/2012 16:00,45.05,STT,,11/1/2012 16:00,48.3,NTRS
11/2/2012 16:00,42.42,JPM,,11/2/2012 16:00,44.72,STT,,11/2/2012 16:00,47.8,NTRS
11/5/2012 16:00,42.27,JPM,,11/5/2012 16:00,45.93,STT,,11/5/2012 16:00,48.61,NTRS
11/6/2012 16:00,42.88,JPM,,11/6/2012 16:00,46.33,STT,,11/6/2012 16:00,48.76,NTRS
11/7/2012 16:00,40.48,JPM,,11/7/2012 16:00,44.72,STT,,11/7/2012 16:00,47.01,NTRS
11/8/2012 16:00,40.4,JPM,,11/8/2012 16:00,44.38,STT,,11/8/2012 16:00,46.54,NTRS
11/9/2012 16:00,40.62,JPM,,11/9/2012 16:00,44.31,STT,,11/9/2012 16:00,46.64,NTRS
11/12/2012 16:00,40.58,JPM,,11/12/2012 16:00,44.39,STT,,11/12/2012 16:00,46.98,NTRS
11/13/2012 16:00,40.04,JPM,,11/13/2012 16:00,44.28,STT,,11/13/2012 16:00,46.66,NTRS
11/14/2012 16:00,39.29,JPM,,11/14/2012 16:00,43.98,STT,,11/14/2012 16:00,46.09,NTRS
11/15/2012 16:00,39.39,JPM,,11/15/2012 16:00,44.14,STT,,11/15/2012 16:00,46.52,NTRS
11/16/2012 16:00,39.53,JPM,,11/16/2012 16:00,44.21,STT,,11/16/2012 16:00,46.85,NTRS
11/19/2012 16:00,40.59,JPM,,11/19/2012 16:00,45.29,STT,,11/19/2012 16:00,47.35,NTRS
11/20/2012 16:00,40.7,JPM,,11/20/2012 16:00,45.29,STT,,11/20/2012 16:00,47.67,NTRS
11/21/2012 16:00,40.73,JPM,,11/21/2012 16:00,45.4,STT,,11/21/2012 16:00,47.81,NTRS
11/23/2012 16:00,41.09,JPM,,11/23/2012 16:00,45.78,STT,,11/23/2012 16:00,48.29,NTRS
11/26/2012 16:00,40.88,JPM,,11/26/2012 16:00,44.9,STT,,11/26/2012 16:00,48.2,NTRS
11/27/2012 16:00,40.75,JPM,,11/27/2012 16:00,44.54,STT,,11/27/2012 16:00,47.88,NTRS
11/28/2012 16:00,40.83,JPM,,11/28/2012 16:00,44.66,STT,,11/28/2012 16:00,47.95,NTRS
11/29/2012 16:00,41.22,JPM,,11/29/2012 16:00,44.6,STT,,11/29/2012 16:00,48.13,NTRS
11/30/2012 16:00,41.08,JPM,,11/30/2012 16:00,44.44,STT,,11/30/2012 16:00,48.02,NTRS
12/3/2012 16:00,40.81,JPM,,12/3/2012 16:00,44.71,STT,,12/3/2012 16:00,48.06,NTRS
12/4/2012 16:00,40.57,JPM,,12/4/2012 16:00,44.4,STT,,12/4/2012 16:00,47.57,NTRS
12/5/2012 16:00,41.2,JPM,,12/5/2012 16:00,44.63,STT,,12/5/2012 16:00,47.44,NTRS
12/6/2012 16:00,41.47,JPM,,12/6/2012 16:00,44.57,STT,,12/6/2012 16:00,47.65,NTRS
12/7/2012 16:00,42.56,JPM,,12/7/2012 16:00,45.15,STT,,12/7/2012 16:00,47.85,NTRS
